,apparentTemperatureMinTime,precipType,cloudCover,temperatureMin,summary,dewPoint,apparentTemperatureMax,temperatureMax,temperatureMaxTime,windBearing,moonPhase,visibility,sunsetTime,pressure,apparentTemperatureMin,icon,apparentTemperatureMaxTime,humidity,windSpeed,time,sunriseTime,temperatureMinTime
0,1420070400.0,rain,,47.14,Windy starting in the evening.,47.85,55.17,55.17,1420146000.0,219.0,0.38,7.22,1420127437.0,1013.41,40.72,wind,1420146000.0,0.9,19.43,1420070400.0,1420101068.0,1420070400.0
1,1420189200.0,rain,0.0,39.06,Clear throughout the day.,34.27,50.66,50.66,1420156800.0,262.0,0.42,8.59,1420213905.0,1019.89,29.15,clear-day,1420156800.0,0.76,20.79,1420156800.0,1420187455.0,1420189200.0
2,1420322400.0,rain,0.0,30.23,Clear throughout the day.,34.13,33.54,42.56,1420246800.0,261.0,0.45,8.86,1420300377.0,1021.35,25.84,clear-day,1420246800.0,0.84,9.43,1420243200.0,1420273838.0,1420326000.0
3,1420358400.0,rain,0.04,27.65,Mostly cloudy overnight.,30.18,35.16,40.57,1420380000.0,220.0,0.48,8.88,1420386851.0,1031.51,23.05,partly-cloudy-night,1420380000.0,0.88,5.6,1420329600.0,1420360217.0,1420354800.0
4,1420416000.0,rain,0.69,35.57,Mostly cloudy throughout the day.,39.43,41.09,45.68,1420462800.0,194.0,0.52,5.86,1420473329.0,1023.81,30.2,partly-cloudy-day,1420462800.0,0.94,7.19,1420416000.0,1420446592.0,1420416000.0
5,1420570800.0,rain,0.56,36.45,Mostly cloudy until afternoon.,38.54,38.92,44.82,1420534800.0,225.0,0.55,7.49,1420559810.0,1015.14,30.1,partly-cloudy-night,1420534800.0,0.9,8.36,1420502400.0,1420532963.0,1420578000.0
6,1420592400.0,rain,0.7,36.99,Mostly cloudy throughout the day.,40.65,50.06,50.06,1420660800.0,209.0,0.58,7.53,1420646294.0,1011.5,30.91,partly-cloudy-day,1420660800.0,0.88,16.77,1420588800.0,1420619331.0,1420592400.0
7,1420736400.0,rain,0.44,39.56,Mostly cloudy starting in the afternoon and windy overnight.,36.27,39.34,46.25,1420675200.0,245.0,0.6,8.49,1420732781.0,1012.69,32.4,wind,1420675200.0,0.78,14.44,1420675200.0,1420705695.0,1420740000.0
8,1420761600.0,rain,0.52,42.74,Mostly cloudy until evening and windy starting in the evening.,41.74,55.22,55.22,1420833600.0,249.0,0.63,7.22,1420819270.0,1004.37,33.02,wind,1420833600.0,0.78,25.02,1420761600.0,1420792056.0,1420812000.0
9,1420909200.0,rain,0.0,35.72,Windy until afternoon.,37.15,54.07,54.07,1420855200.0,259.0,0.66,7.5,1420905762.0,1002.68,25.48,wind,1420855200.0,0.8,24.7,1420848000.0,1420878413.0,1420909200.0
10,1420948800.0,rain,0.15,35.02,Windy and mostly cloudy overnight.,35.24,36.22,44.52,1421010000.0,255.0,0.69,7.71,1420992256.0,1010.81,24.23,wind,1421010000.0,0.83,20.2,1420934400.0,1420964767.0,1420948800.0
11,1421092800.0,rain,0.59,36.39,Windy in the morning and mostly cloudy throughout the day.,36.48,40.57,48.82,1421053200.0,238.0,0.72,7.87,1421078753.0,998.45,28.8,wind,1421053200.0,0.78,21.22,1421020800.0,1421051117.0,1421092800.0
12,1421182800.0,rain,0.4,32.37,Mostly cloudy until afternoon.,31.63,30.03,38.9,1421146800.0,226.0,0.76,8.02,1421165252.0,994.66,23.84,partly-cloudy-day,1421146800.0,0.83,12.07,1421107200.0,1421137464.0,1421190000.0
13,1421218800.0,rain,0.55,32.16,Mostly cloudy throughout the day and windy starting in the evening.,30.93,31.68,42.05,1421276400.0,202.0,0.79,7.62,1421251753.0,993.09,22.88,wind,1421276400.0,0.83,14.39,1421193600.0,1421223807.0,1421215200.0
14,1421341200.0,rain,0.41,37.54,Windy and partly cloudy starting in the afternoon.,34.57,35.64,45.18,1421283600.0,218.0,0.82,7.65,1421338257.0,974.77,25.17,wind,1421283600.0,0.77,24.81,1421280000.0,1421310147.0,1421341200.0
15,1421431200.0,rain,0.25,32.74,Partly cloudy until afternoon.,30.18,29.66,40.13,1421366400.0,257.0,0.85,8.36,1421424762.0,997.38,23.31,partly-cloudy-day,1421366400.0,0.81,13.74,1421366400.0,1421396484.0,1421442000.0
16,1421532000.0,rain,0.0,30.75,Clear throughout the day.,31.42,30.74,37.18,1421503200.0,233.0,0.89,8.04,1421511269.0,1005.66,25.24,clear-day,1421503200.0,0.9,8.07,1421452800.0,1421482818.0,1421535600.0
17,1421557200.0,snow,0.03,26.41,Partly cloudy overnight.,28.53,27.89,34.66,1421586000.0,308.0,0.92,6.72,1421597778.0,1011.89,19.75,partly-cloudy-night,1421586000.0,0.91,6.34,1421539200.0,1421569149.0,1421550000.0
18,1421629200.0,rain,0.71,30.52,Mostly cloudy throughout the day.,30.48,28.82,34.7,1421676000.0,317.0,0.96,7.1,1421684289.0,1013.43,21.64,partly-cloudy-day,1421676000.0,0.93,6.27,1421625600.0,1421655477.0,1421629200.0
19,1421787600.0,snow,0.86,30.37,Mostly cloudy throughout the day.,29.32,26.89,33.47,1421766000.0,155.0,0.99,5.49,1421770801.0,1008.8,22.98,partly-cloudy-day,1421766000.0,0.92,5.24,1421712000.0,1421741802.0,1421715600.0
20,1421798400.0,rain,1.0,31.5,Overcast throughout the day.,31.37,28.09,34.31,1421852400.0,119.0,0.04,4.28,1421857314.0,1009.08,24.36,cloudy,1421852400.0,0.93,6.89,1421798400.0,1421828124.0,1421798400.0
21,1421967600.0,snow,0.77,30.55,Mostly cloudy throughout the day.,30.93,32.76,35.53,1421935200.0,205.0,0.07,3.38,1421943829.0,1020.9,25.45,partly-cloudy-day,1421935200.0,0.94,2.15,1421884800.0,1421914444.0,1421910000.0
22,1422000000.0,rain,0.76,32.64,Mostly cloudy until afternoon.,33.75,33.67,41.8,1422036000.0,205.0,0.11,4.78,1422030346.0,1016.57,23.95,partly-cloudy-day,1422036000.0,0.89,10.49,1421971200.0,1422000760.0,1421971200.0
23,1422086400.0,rain,0.0,34.23,Clear throughout the day.,32.38,34.01,41.58,1422108000.0,271.0,0.15,8.35,1422116863.0,1021.88,25.29,clear-day,1422108000.0,0.83,11.83,1422057600.0,1422087074.0,1422086400.0
24,1422144000.0,rain,,37.75,Mostly cloudy overnight.,40.18,42.23,47.81,1422216000.0,237.0,0.18,7.79,1422203382.0,1022.83,31.23,partly-cloudy-night,1422216000.0,0.87,12.06,1422144000.0,1422173386.0,1422144000.0
25,1422313200.0,rain,0.4,36.47,Partly cloudy until evening.,36.66,41.12,46.93,1422230400.0,275.0,0.22,8.62,1422289901.0,1020.21,29.74,partly-cloudy-day,1422230400.0,0.83,12.37,1422230400.0,1422259695.0,1422313200.0
26,1422316800.0,rain,0.67,35.94,Mostly cloudy throughout the day.,37.91,38.93,44.87,1422360000.0,252.0,0.26,7.95,1422376422.0,1021.28,29.24,partly-cloudy-day,1422360000.0,0.87,10.94,1422316800.0,1422346001.0,1422316800.0
27,1422486000.0,rain,0.67,33.27,Mostly cloudy throughout the day.,34.88,38.04,46.35,1422428400.0,255.0,0.29,6.51,1422462943.0,994.52,21.69,partly-cloudy-day,1422428400.0,0.86,18.91,1422403200.0,1422432305.0,1422486000.0
28,1422489600.0,rain,0.31,27.65,Partly cloudy starting in the afternoon.,28.78,26.09,34.4,1422543600.0,268.0,0.33,7.66,1422549465.0,977.64,20.98,partly-cloudy-night,1422543600.0,0.85,13.2,1422489600.0,1422518607.0,1422572400.0
29,1422583200.0,rain,0.24,25.8,Partly cloudy in the morning.,28.33,29.4,38.1,1422626400.0,282.0,0.36,8.68,1422635988.0,975.66,19.32,partly-cloudy-night,1422626400.0,0.83,10.33,1422576000.0,1422604906.0,1422583200.0
30,1422745200.0,rain,,33.28,Breezy overnight.,30.08,27.86,38.26,1422709200.0,323.0,0.39,7.85,1422722511.0,984.86,22.86,wind,1422709200.0,0.8,17.41,1422662400.0,1422691204.0,1422669600.0
31,1422831600.0,rain,0.0,28.63,Clear throughout the day.,25.78,26.29,35.81,1422802800.0,324.0,0.43,8.07,1422809035.0,1000.23,19.33,clear-day,1422802800.0,0.73,17.18,1422748800.0,1422777499.0,1422831600.0
32,1422835200.0,snow,0.55,27.11,Mostly cloudy throughout the day.,23.94,25.83,34.5,1422885600.0,313.0,0.46,8.87,1422895560.0,1005.74,18.01,partly-cloudy-day,1422885600.0,0.77,9.0,1422835200.0,1422863792.0,1422853200.0
33,1422936000.0,rain,0.47,26.17,Partly cloudy throughout the day.,27.47,28.58,36.72,1422972000.0,337.0,0.48,8.24,1422982084.0,1011.46,19.56,partly-cloudy-day,1422972000.0,0.86,7.54,1422921600.0,1422950083.0,1422939600.0
34,1423026000.0,rain,0.46,30.46,Mostly cloudy throughout the day.,28.56,28.87,36.97,1423058400.0,327.0,0.52,8.33,1423068610.0,1022.73,21.61,partly-cloudy-day,1423058400.0,0.81,9.8,1423008000.0,1423036372.0,1423026000.0
35,1423101600.0,rain,0.84,33.05,Mostly cloudy throughout the day.,32.99,36.28,41.06,1423141200.0,343.0,0.55,7.39,1423155135.0,1029.01,26.79,partly-cloudy-day,1423141200.0,0.87,4.72,1423094400.0,1423122659.0,1423098000.0
36,1423260000.0,rain,0.18,31.47,Partly cloudy until afternoon.,33.62,37.52,40.09,1423231200.0,347.0,0.58,6.07,1423241661.0,1035.33,31.4,partly-cloudy-day,1423231200.0,0.93,2.19,1423180800.0,1423208944.0,1423206000.0
37,1423292400.0,rain,0.0,32.56,Clear throughout the day.,32.66,38.22,41.86,1423317600.0,312.0,0.61,5.93,1423328186.0,1038.54,27.45,clear-day,1423317600.0,0.89,4.46,1423267200.0,1423295228.0,1423292400.0
38,1423378800.0,rain,0.0,30.91,Clear throughout the day.,32.34,37.0,42.73,1423404000.0,283.0,0.64,8.07,1423414712.0,1038.19,25.69,clear-day,1423404000.0,0.85,6.71,1423353600.0,1423381509.0,1423378800.0
39,1423454400.0,rain,0.11,34.35,Clear throughout the day.,35.44,41.96,46.48,1423486800.0,270.0,0.67,7.59,1423501238.0,1033.24,27.82,clear-day,1423486800.0,0.88,7.02,1423440000.0,1423467789.0,1423465200.0
40,1423555200.0,rain,0.24,33.22,Foggy starting in the evening.,33.65,35.96,39.73,1423580400.0,252.0,0.7,4.08,1423587764.0,1030.75,25.65,fog,1423580400.0,0.92,5.44,1423526400.0,1423554068.0,1423555200.0
41,1423638000.0,rain,0.93,32.61,Foggy in the morning.,32.77,32.81,38.22,1423666800.0,223.0,0.73,2.93,1423674290.0,1023.09,24.98,fog,1423666800.0,0.9,6.87,1423612800.0,1423640345.0,1423638000.0
42,1423782000.0,rain,0.9,34.6,Mostly cloudy throughout the day.,33.88,34.97,40.25,1423749600.0,196.0,0.77,5.14,1423760816.0,1017.35,29.84,partly-cloudy-day,1423749600.0,0.88,5.5,1423699200.0,1423726620.0,1423724400.0
43,1423810800.0,rain,0.98,35.03,Foggy in the morning.,36.34,36.17,42.86,1423843200.0,135.0,0.8,3.32,1423847342.0,1001.75,26.64,fog,1423843200.0,0.9,11.16,1423785600.0,1423812894.0,1423803600.0
44,1423882800.0,rain,,39.28,Foggy overnight.,40.41,41.29,44.87,1423918800.0,76.0,0.83,3.44,1423933868.0,1006.43,33.98,fog,1423918800.0,0.95,6.41,1423872000.0,1423899166.0,1423900800.0
45,1424041200.0,rain,0.46,38.88,Foggy in the morning.,38.92,40.13,45.23,1424008800.0,137.0,0.87,2.46,1424020393.0,1014.25,30.92,fog,1424008800.0,0.92,8.46,1423958400.0,1423985437.0,1424041200.0
46,1424127600.0,rain,0.67,35.22,Mostly cloudy until evening.,36.6,38.85,44.1,1424095200.0,218.0,0.91,5.9,1424106919.0,1013.13,28.06,partly-cloudy-day,1424095200.0,0.87,6.23,1424044800.0,1424071706.0,1424127600.0
47,1424149200.0,rain,0.37,31.66,Partly cloudy throughout the day.,33.21,37.96,45.21,1424181600.0,247.0,0.94,8.87,1424193444.0,1031.26,24.25,partly-cloudy-day,1424181600.0,0.8,11.36,1424131200.0,1424157974.0,1424149200.0
48,1424217600.0,rain,0.76,41.46,Mostly cloudy throughout the day.,40.41,44.42,49.69,1424271600.0,220.0,0.98,8.23,1424279969.0,1028.21,34.43,partly-cloudy-day,1424271600.0,0.82,14.62,1424217600.0,1424244241.0,1424217600.0
